run_id,run_dir,output_dir,dataset,processed_samples,request_count,successful_request_count,failed_request_count,retry_count,text_request_count,multimodal_request_count,total_request_seconds,prompt_tokens,completion_tokens,total_tokens,cached_tokens,reasoning_tokens,requests_with_usage,avg_requests_per_sample,avg_request_seconds_per_sample,avg_seconds_per_request
run_b06c9079c1a4582a,/home/lijingyue/qiujianbo/agent-pipeline/outputs/ai2d_0000_1000/run_b06c9079c1a4582a,/home/lijingyue/qiujianbo/agent-pipeline/outputs/ai2d_0000_1000,ai2d,758,6306,5419,1365,478,4790,1516,68083.635,0,0,0,0,0,0,8.319261213720317,89.82009894459102,10.796643672692673
run_5616b56e101d6ab8,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_10_zipmember/run_5616b56e101d6ab8,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_10_zipmember,cmm_math,10,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_9ee2916eb2e4080c,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_20/run_9ee2916eb2e4080c,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_20,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_cdf52b5a7e459664,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_20_proxy/run_cdf52b5a7e459664,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_20_proxy,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_817307a093676fe6,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_20_zipmember/run_817307a093676fe6,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_fixrun_20_zipmember,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,scemqa,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,geometry3k,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,cmm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,mathvision,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify/run_d6f7477049dac41b,/home/lijingyue/qiujianbo/agent-pipeline/outputs/cmm_math_imagefix_verify,mm_math,20,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
